case_id,name,body_chars,status_reason,security_relevance,security_focus,operational_security,operation_level,security_functions,security_concerns,operational_capability,evidence,confidence,rule_applied,grc_case,secondary_mention_boundary,possible_non_english_flag,note,annotation_seconds
LLM052,u09266-mentoring-and-coaching-design-for-sales-and-client-success,3135,DISCORDANT,,,,,,,,,,,,,,,
LLM053,am-memory-consolidation,6912,DISCORDANT,,,,,,,,,,,,,,,
LLM054,boss-review,12898,DISCORDANT,,,,,,,,,,,,,,,
LLM055,meta-hermes,7489,DISCORDANT,,,,,,,,,,,,,,,
LLM057,,4852,DISCORDANT,,,,,,,,,,,,,,,
LLM059,performing-malware-ioc-extraction,13275,DISCORDANT,,,,,,,,,,,,,,,
LLM061,google-drive-automation,4351,DISCORDANT,,,,,,,,,,,,,,,
LLM062,attractive-ui-designer,5671,DISCORDANT,,,,,,,,,,,,,,,
LLM063,rate-limit-middleware,1298,DISCORDANT,,,,,,,,,,,,,,,
LLM064,dotnet-minimal-api,13990,DISCORDANT,,,,,,,,,,,,,,,
LLM066,pytest-testing,11875,MISSING,,,,,,,,,,,,,,,
LLM067,,19445,MISSING,,,,,,,,,,,,,,,
LLM068,afps-status,15822,MISSING,,,,,,,,,,,,,,,
LLM069,apophatic-reasoning,5469,MISSING,,,,,,,,,,,,,,,
LLM070,maester-test-expert,34927,MISSING,,,,,,,,,,,,,,,
LLM071,mcp-builder,1760,MISSING,,,,,,,,,,,,,,,
LLM072,capital-formation-brief,363,MISSING,,,,,,,,,,,,,,,
LLM073,,7894,MISSING,,,,,,,,,,,,,,,
LLM074,anti-detect-browser-automation,41552,MISSING,,,,,,,,,,,,,,,
LLM075,suspicion-scoring,4408,INCOMPLETE,,,,,,,,,,,,,,,
LLM076,native-mcp,12357,DISCORDANT,,,,,,,,,,,,,,,
LLM077,test,4115,DISCORDANT,,,,,,,,,,,,,,,
LLM078,,75,DISCORDANT,,,,,,,,,,,,,,,
LLM079,,5889,INCOMPLETE,,,,,,,,,,,,,,,
LLM080,backend,4478,DISCORDANT,,,,,,,,,,,,,,,
LLM081,my-create-acceptance-criteria,6898,DISCORDANT,,,,,,,,,,,,,,,
LLM082,paper-rerun,1785,INCOMPLETE,,,,,,,,,,,,,,,
LLM083,moai-domain-database,7452,INCOMPLETE,,,,,,,,,,,,,,,
LLM084,,4034,INCOMPLETE,,,,,,,,,,,,,,,
LLM085,docker,9696,DISCORDANT,,,,,,,,,,,,,,,
LLM086,youtube-video-audit,18003,DISCORDANT,,,,,,,,,,,,,,,
LLM087,secure-phase,822,DISCORDANT,,,,,,,,,,,,,,,
LLM088,repo-prep,2633,INCOMPLETE,,,,,,,,,,,,,,,
LLM089,cloud-functions,6577,INCOMPLETE,,,,,,,,,,,,,,,
LLM090,diagnosing-energy-models,24756,INCOMPLETE,,,,,,,,,,,,,,,
LLM091,deploy,2518,INCOMPLETE,,,,,,,,,,,,,,,
LLM092,example,249,DISCORDANT,,,,,,,,,,,,,,,
LLM093,auditing-azure-active-directory-configuration,11864,DISCORDANT,,,,,,,,,,,,,,,
LLM094,plan-eng-review,42777,DISCORDANT,,,,,,,,,,,,,,,
LLM095,quiver,1663,INCOMPLETE,,,,,,,,,,,,,,,
LLM096,draft-vendor-onboarding-questionnaire,9133,DISCORDANT,,,,,,,,,,,,,,,
LLM097,laravel-testing,7275,DISCORDANT,,,,,,,,,,,,,,,
LLM098,incident-response-cyber,1112,DISCORDANT,,,,,,,,,,,,,,,
LLM099,DeepThink,18738,DISCORDANT,,,,,,,,,,,,,,,
LLM100,deepworkplan-addon-dependency-upgrade,7615,DISCORDANT,,,,,,,,,,,,,,,
