case_id,file_sha,security_relevance,is_security_skill,frame_exclusion,label_origin,in_analysis_frame,exclusion_reason
LLM022,14f2cf5043d285f9f622c08f858ba7186b217a5c,SECONDARY,true,,llm_consensus,true,
LLM023,7bafc9d8e16ca7e2b088a4c7e619421350d162b6,SECONDARY,true,,llm_consensus,true,
LLM024,aff60b511d63ea01f363e15db402befbc314b240,NONE,false,,llm_consensus,true,
LLM025,2c86637f2a55e281171a439ee44af9ecd76b972b,NONE,false,,llm_consensus,true,
LLM026,eb2497a6de4003b5a349a45371f2212bbe3e5556,PRIMARY,true,,llm_consensus,true,
LLM027,ea981b07e4c952c416e248f2d5db79507766793d,NONE,false,,llm_consensus,true,
LLM028,42f315174d0b6bb3be7d7280b13122889a3a1ddc,NONE,false,,llm_consensus,true,
LLM029,2732f50ca23f736fe91ec0e09a6d904b720435ef,NONE,false,,human_reconciliation,true,
LLM030,43e20768eb6343ff2387752d717ab9e56eb1decd,SECONDARY,true,,llm_consensus,true,
LLM031,84e3af223c9fda2034ec62fc693ea4cc3d07ec59,NONE,false,,llm_consensus,true,
LLM032,f3c0e19d89f4ea4edbdf28644197e2033c6e1d54,NONE,false,,llm_consensus,true,
LLM033,fc11fdc9db6a6b209dd95ee88bc38ee698e74aea,SECONDARY,true,,llm_consensus,true,
LLM034,6070d24d9350944383464dd96894938a6306bb9d,NONE,false,,llm_consensus,true,
LLM035,cf6ec33ddf03b6bd1c38e032a91921ce8d6ad1ef,NONE,false,,human_agreement,true,
LLM036,0f93244857bf9fecd8c0e660ba3f11fc9c1f3767,SECONDARY,true,,human_agreement,true,
LLM037,07f2e4fa89eb81b45b349c9488cec2946b749cee,SECONDARY,true,,llm_consensus,true,
LLM038,0787ed3ddb1f3a95409bdff68c730b39b14b1b7e,NONE,false,,llm_consensus,true,
LLM039,97f313d182c315aba6c32f31481bafbc892988ec,NONE,false,,llm_consensus,true,
LLM040,01b36d9f57a9766b7c0a0d67cc0378a5383f9399,NONE,false,,llm_consensus,true,
LLM041,891181320cc619c466e22e7012d711d58e9461a4,NONE,false,,human_agreement,true,
LLM042,7f675bee4b7debc2eb4b49cce188504d961067be,SECONDARY,true,,llm_consensus,true,
LLM043,940aed2ed5fd3a080c38d1d64f6332d1020d2186,SECONDARY,true,,llm_consensus,true,
LLM044,b3edcc8fde77fc3d7068d55d9a3e99ae88d85f6a,SECONDARY,true,,llm_consensus,true,
LLM045,bb5f19400bfa250e59c04a84f20c3c15a8949e1c,NONE,false,,human_reconciliation,true,
LLM046,429bd6af357507f83c6233ad19d569e89f412628,NONE,false,,llm_consensus,true,
LLM047,29b1f40dbac262db9593541fd3766b6eccc4856e,SECONDARY,true,,llm_consensus,true,
LLM048,cf076d64df1e0415729c54b76aba42c9b5557cc5,NONE,false,,llm_consensus,true,
LLM049,bfd417196cdf2f824dc90e018577c556fc47ae69,SECONDARY,true,,llm_consensus,true,
LLM050,d2b82dd29a0a5fdf895b9a8377b2b6f59a77025e,SECONDARY,true,,llm_consensus,true,
LLM051,5a15ff74fabf7bf62cb83ac9aa1c940e7dbcbcec,NONE,false,,llm_consensus,true,
LLM052,da2e8edea5a4031f4bd3cac68603f72ec8b27aa7,NONE,false,,human_reconciliation,true,
LLM053,4a749ee2d51a7b582d4dfc0b78ba34446724e06d,SECONDARY,true,,llm_consensus,true,
LLM054,5864bdf4a4964877e302b8aee8068460364b7833,NONE,false,,llm_consensus,true,
LLM055,064ce009e451a4ea8a1c08fc63d1e15d65c39199,SECONDARY,true,,llm_consensus,true,
LLM056,a61182b5f6405575142c23414e8c7d13caf63763,SECONDARY,true,,llm_consensus,true,
LLM057,1d5b3334b8c0abccd238370fd8eea1cac409eda7,SECONDARY,true,,llm_consensus,true,
LLM058,8bae0d5fa037b1f13a15f3434c46b26e0a0fdd4e,NONE,false,,llm_consensus,true,
LLM059,0ef07f0561cde0239933665cdb8de81be9d6bb55,PRIMARY,true,,llm_consensus,true,
LLM060,8e7408e2297decb787a5d9964f4e159f96811043,NONE,false,,llm_consensus,true,
LLM061,841d5effbe47c59a17b6c0e0c1bfb1530fcd0b30,SECONDARY,true,,llm_consensus,true,
LLM062,40abe7af12f6e71fccf81a3fb26bb53a425d681d,NONE,false,,llm_consensus,true,
LLM063,a0abde9a347079d58a6283bedaa3497ca54328d7,SECONDARY,true,,llm_consensus,true,
LLM064,19aaadd66429484d74556e18a876668b45c3d4f5,SECONDARY,true,,llm_consensus,true,
LLM065,460b9bd1bc050061db839acaa44e80e9aaefe31d,SECONDARY,true,,llm_consensus,true,
LLM066,fc93025eb97237b48891282748ee2ae89bb9ef0d,NONE,false,,llm_consensus,true,
LLM067,51554c7067a59f5cd39d11debd312a2f9c96d77c,NONE,false,not_an_instruction_artifact,human_agreement,true,
LLM068,6f4db89bfcee28a7557eb283bf4c93b1ed4e3d9d,SECONDARY,true,,llm_consensus,true,
LLM069,1a33110e181f0167a21f00edcdbfd6c8a3722632,NONE,false,,llm_consensus,true,
LLM070,2f2b215af5970e2bdf2ebe71df669a79deed7f01,PRIMARY,true,,llm_consensus,true,
LLM071,b54524ba689efcd9a0565f1a965b626f82b5ce3f,NONE,false,,human_agreement,true,
LLM072,00ba29f86ee909ccd5881130739316b7497a3a71,NONE,false,,llm_consensus,true,
LLM073,fba0c3f3192cd5bd854286fcd318da428ed0096a,PRIMARY,true,,llm_consensus,true,
LLM074,ad9d83954468d6dfff5501b278d5541bb8190d4e,PRIMARY,true,,llm_consensus,true,
LLM075,b64c97257df61e55c475c33e53d5e48d20c74006,NONE,false,,llm_consensus,true,
LLM076,ca3896745db31558b73c205e68790038a3d94453,SECONDARY,true,,llm_consensus,true,
LLM077,d7b7a658c8a63c393ef238f0bbd05f9e469c4470,SECONDARY,true,,llm_consensus,true,
LLM079,c8ffe506809ba8b5615906820a72a1aa848d7e31,SECONDARY,true,,llm_consensus,true,
LLM080,cc4010ffaf0711d1e5b9d0a7ef015a8417e25c92,SECONDARY,true,,llm_consensus,true,
LLM081,5788b8123b2a272fd2422ee9e951f19bac814363,SECONDARY,true,,llm_consensus,true,
LLM082,af3a496c8bab6489aa1e49f67afdb53289321642,SECONDARY,true,,llm_consensus,true,
LLM083,df73e855e36b2d53e75a756850cc77030928dd08,SECONDARY,true,,human_agreement_after_marking_fix,true,
LLM084,e37e8c49420234daa4788ab73b6a19d5960ccac2,NONE,false,,llm_consensus,true,
LLM085,fe62a8d139e269b2051f09abd142d79451b69645,SECONDARY,true,,human_agreement,true,
LLM086,b73dc1840cdd1d7357eee0138970af83004c4e04,SECONDARY,true,,llm_consensus,true,
LLM087,1d5bbb62fe45be0ff9aacd2c508f4a769038949a,PRIMARY,true,,llm_consensus,true,
LLM088,7846a8837faf2d212671c38395738926c7780509,SECONDARY,true,,llm_consensus,true,
LLM089,640a7fb381204410878dbae1881fe377361864a9,NONE,false,,human_agreement_after_marking_fix,true,
LLM090,af5e5cfad36f4b05057b4ae28f392029a61ec243,NONE,false,,llm_consensus,true,
LLM091,97efb24b695abf9378bf48c18324cbf97dcf988a,NONE,false,,human_reconciliation,true,
LLM092,4465be6ab98dfd80bb3826154d10bf266e41fed5,NONE,false,truncated_undecidable,llm_consensus,true,
LLM093,77a2605c404c23ffbebecfa156cac60e8d6a8c93,PRIMARY,true,,llm_consensus,true,
LLM094,b9bb4bdeda3a54a38a9dc6dd245a9e5f9833d2bf,SECONDARY,true,,llm_consensus,true,
LLM095,2bbc4728cab911fc7c49f7a03c3397baaca51246,NONE,false,,human_agreement,true,
LLM096,758166585f7b832e14bd2bc6c66c70c92df7eced,NONE,false,,human_agreement,true,
LLM097,bf7dc7a1de98aace62de404e089248039924ebf8,SECONDARY,true,,llm_consensus,true,
LLM098,28343e4cb74f6f67f9ae6ace91040beca7332205,PRIMARY,true,,llm_consensus,true,
LLM099,585f1d691aa9baf2fbb21f9a389982b505c775d5,SECONDARY,true,,llm_consensus,true,
LLM100,d0a7c8f808a605c597c2e520ff2fb25a77c5d7d9,SECONDARY,true,,llm_consensus,true,
